folder,folder_digitized,pdf_id,num_interviews,interview_num,header,subheader,location,interviewer,title
23,yes,877,1,1,"Evans, Lawrence (interviewer): Master Cain, of the Grover Cleveland, of Bayou la Batre","E. J. Cain, no date given, Bayou la Batre, white shrimp boat operator, 14 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 23","Evans, Lawrence (interviewer)","Master Cain, of the Grover Cleveland, of Bayou la Batre"
24,yes,987,1,1,"Evans, Lawrence (interviewer): ""A Small Town Doctor""","Floyd L. Abernathy, no date given, Prattville, white doctor, Foley, 1 February 1939","#03709, Subseries: ""1.1. Alabama."" Folder 24","Evans, Lawrence (interviewer)","""A Small Town Doctor"""
25,yes,933,1,1,"Evans, Lawrence (interviewer): The Potter","Ed Grace, no date given, no place given, white potter, Daphen, 7 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 25","Evans, Lawrence (interviewer)",The Potter
26,yes,884,1,1,"Evans, Lawrence (interviewer): An Oysterman","Lawrence Nelson, no date given, [Foley?], white oysterman, Foley, 5 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 26","Evans, Lawrence (interviewer)",An Oysterman
27,yes,662,1,1,"Evans, Lawrence (interviewer): Sam, the Turpentine Chopper","Sam Jackson, circa 1916, no place given, black turpentiner, Stapleton, 21 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 27","Evans, Lawrence (interviewer)","Sam, the Turpentine Chopper"
28,yes,939,1,1,"Hall, Covington (interviewer): The ""Andrew Jackson of Southern Labor""","Arthur Lee Emerson, circa 1881, Tennessee, white union organizer, farmer, Mentone, 15 December 1938","#03709, Subseries: ""1.1. Alabama."" Folder 28","Hall, Covington (interviewer)","The ""Andrew Jackson of Southern Labor"""
29,yes,898,1,1,"Hall, Covington (interviewer): Mountain Thinker and Experimenter","George Smith, circa 1900, no place given, white experimenter, Mentone, 5 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 29","Hall, Covington (interviewer)",Mountain Thinker and Experimenter
30,yes,912,1,1,"Hall, Covington (interviewer): Mountain Merchant-Farmer","Dan Smith, no date given, no place given, white merchant and farmer, Mentone, 7 December 1938","#03709, Subseries: ""1.1. Alabama."" Folder 30","Hall, Covington (interviewer)",Mountain Merchant-Farmer
31,yes,869,1,1,"Hall, Covington (interviewer): Sam Cash, Farmer-Miner","Sam Cash, circa 1871, near Mentone, white farmer-miner, Mentone, 7 December 1938","#03709, Subseries: ""1.1. Alabama."" Folder 31","Hall, Covington (interviewer)","Sam Cash, Farmer-Miner"
32,yes,1008,1,1,"Hand, Woodrow (interviewer): Johnnie Gates-Truck-Miner","John H. Gates, no date given, no place given, white truck-miner, Helena, 15 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 32","Hand, Woodrow (interviewer)",Johnnie Gates-Truck-Miner
33,yes,948,1,1,"Hand, Woodrow (interviewer): Gertha Couric-Hotel Hostess-WPA Worker","Gertha Couric, circa 1896, Eufaula, white hotel hostess, WPA worker, Eufaula, 31 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 33","Hand, Woodrow (interviewer)",Gertha Couric-Hotel Hostess-WPA Worker
34,yes,870,1,1,"Harper, Edward F. (interviewer): Hobbies, Pets, and Children","Lloyd Wesley Lewis, 1912, Elmore County, Ala., white industrial blacksmith, Ensley, 30 November 1938","#03709, Subseries: ""1.1. Alabama."" Folder 34","Harper, Edward F. (interviewer)","Hobbies, Pets, and Children"
35,yes,1003,1,1,"Hartley, Helen S. (interviewer): Shrimping on the Schooner Berney Geneva","L. W. Robbie, circa 1900, no place given, white shrimp fisherman, Bayou la Batre, 30 November 1938","#03709, Subseries: ""1.1. Alabama."" Folder 35","Hartley, Helen S. (interviewer)",Shrimping on the Schooner Berney Geneva
36,yes,1017,1,1,"Heflin, Wilson L. (interviewer): I Wouldn't Be a Farmer","James McDaniel, circa 1919, [Winfield?], white college student, Winfield, 10 August 1939","#03709, Subseries: ""1.1. Alabama."" Folder 36","Heflin, Wilson L. (interviewer)",I Wouldn't Be a Farmer
37,yes,937,1,1,"Heflin, Wilson L. (interviewer): People Call Me a Loan Shark","A. Way, Jr., no date given, no place given, white loan shark, Birmingham, 18 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 37","Heflin, Wilson L. (interviewer)",People Call Me a Loan Shark
38,yes,1018,1,1,"Klein, Preston (interviewer): The Truitt Family-Tenant Farmers","M. Truitt, no date given, no place given, white tenant farmer, Opelika, 10 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 38","Klein, Preston (interviewer)",The Truitt Family-Tenant Farmers
39,yes,957,1,1,"Kytle, Jack (interviewer): A Woman's Like a Dumb Animal","George Carter, circa 1877, no place given, white, logger, Talledega Springs, 25 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 39","Kytle, Jack (interviewer)",A Woman's Like a Dumb Animal
40,yes,860,1,1,"Kytle, Jack (interviewer): River Drifter","Bob Curtis, no date given, no place given, [white?], fisherman, Talledega Springs, 17 July 1939, 23 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 40","Kytle, Jack (interviewer)",River Drifter
41,yes,989,1,1,"Kytle, Jack (interviewer): River Drifter (another version of the above interview)","Bob Curtis, no date given, no place given, [white?], fisherman, Talledega Springs, 17 July 1939, 23 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 41","Kytle, Jack (interviewer)",River Drifter (another version of the above interview)
42,yes,975,1,1,"Kytle, Jack (interviewer): I'm Allus Hongry","Orrie Robinson, 1891, Talledega Springs, white, fisherman, Talledega Springs, 4 August 1939","#03709, Subseries: ""1.1. Alabama."" Folder 42","Kytle, Jack (interviewer)",I'm Allus Hongry
43,yes,659,1,1,"Kytle, Jack (interviewer): Isaac Johnson: Cajan [sic] Turpentiner","Isaac Johnson, no date given, Happy Hill Community near Chaton, Cajun, turpentiner, Happy Hill Community near Chatom, 29 November 1938","#03709, Subseries: ""1.1. Alabama."" Folder 43","Kytle, Jack (interviewer)",Isaac Johnson Cajan [sic] Turpentiner
44,yes,969,1,1,"Kytle, Jack (interviewer): Jim Lauderdale: River Wreck","Jim Lauderdale, 1880, no place given, white river rat, Talledega Springs, 22 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 44","Kytle, Jack (interviewer)",Jim Lauderdale River Wreck
45,yes,867,1,1,"Kytle, Jack (interviewer): ""Dead Man"" of Coosa River","Henry Kelly, circa 1870, Sylaucauga, white river rat, Talledega Springs, 21 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 45","Kytle, Jack (interviewer)","""Dead Man"" of Coosa River"
46,yes,924,1,1,"Kytle, Jack (interviewer): ""Uncle Bud"" Ryland the Coosa Fisherman","Charley ""Uncle Bud"" Ryland, circa 1870, no place given, white fisherman, Talledega Springs, 21 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 46","Kytle, Jack (interviewer)","""Uncle Bud"" Ryland the Coosa Fisherman"
47,yes,981,1,1,"Kytle, Jack (interviewer): River Widow: Portrait of Poverty","Neely ""The Widow"" Williams, no date given, no place given, white widow, Fayetteville, 21 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 47","Kytle, Jack (interviewer)",River Widow Portrait of Poverty
48,yes,861,1,1,"Kytle, Jack (interviewer): Pattern of Ignorance","Orrie Robinson, 1898, Talledega Springs, white fisherman, Talledega Springs, 23 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 48","Kytle, Jack (interviewer)",Pattern of Ignorance
49,yes,992,1,1,"Kytle, Jack (interviewer): By the Glory of God","Harrison Waters, circa 1881, Talledega Springs, black farmer, Talledega Springs, 21 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 49","Kytle, Jack (interviewer)",By the Glory of God
50,yes,875,1,1,"Kytle, Jack (interviewer): A Dead Convict Don't Cost Nothin'","Jim Lauderdale, 1880, no place given, white river rat, Talledega Springs, 8 August 1939","#03709, Subseries: ""1.1. Alabama."" Folder 50","Kytle, Jack (interviewer)",A Dead Convict Don't Cost Nothin'
51,yes,979,1,1,"McDonald, Nettie S. (interviewer): The Poseys","Gayle Posey, no date given, no place given, white, weatherstrips houses; Idella Posey, no date given, no place given, white housewife, Birmingham, no date given","#03709, Subseries: ""1.1. Alabama."" Folder 51","McDonald, Nettie S. (interviewer)",The Poseys
52,yes,910,1,1,"McDonald, Nettie S. (interviewer): Coal Miner","Sam Brakefield, 1873, [Lamar County?], white miner, [Lamar County?], no date given","#03709, Subseries: ""1.1. Alabama."" Folder 52","McDonald, Nettie S. (interviewer)",Coal Miner
53,yes,887,1,1,"McDonald, Nettie S. (interviewer): Green Fields Far Away","Joseph Davis, no date given, no place given, white miner and farmer; Dera Davis, no date given, Tennessee, white teacher, North Birmingham, 30 November 1939","#03709, Subseries: ""1.1. Alabama."" Folder 53","McDonald, Nettie S. (interviewer)",Green Fields Far Away
54,yes,942,1,1,"McDonald, Nettie S. (interviewer): Mary Worked in the Mines in Belgium","Mary De Roy, no date given, Belgium, white housewife; August De Roy, no date given, Belgium, white miner, Republic, 14 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 54","McDonald, Nettie S. (interviewer)",Mary Worked in the Mines in Belgium
55,yes,873,1,1,"McDonald, Nettie S. and Kytle, Jack (interviewers): I'm Crazy 'bout Rats.","Bennie Amerson, no date given, no place given, white miner; Mary Amerson, no date given, no place given, white housewife, Republic","#03709, Subseries: ""1.1. Alabama."" Folder 55","McDonald, Nettie S. and Kytle, Jack (interviewers)",I'm Crazy 'bout Rats.
56,yes,1022,1,1,"Marshall, Bennett (interviewer): Some Grow Old.","Mrs. S. M. Davis, circa 1875, Texas, white boarding house operator, Birmingham, 7 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 56","Marshall, Bennett (interviewer)",Some Grow Old.
57,yes,915,1,1,"O'Brien, Susie R. (interviewer): Ellawhite Mill Village","Description of California Cotton Mill, Uniontown, 28 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 57","O'Brien, Susie R. (interviewer)",Ellawhite Mill Village
58,yes,872,1,1,"O'Brien, Susie R. (interviewer): The Alexanders","E. J. Alexander, no date given, no place given, white tenant farmer, Marion, 20 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 58","O'Brien, Susie R. (interviewer)",The Alexanders
59,yes,993,1,1,"Perry, Rhussus L. (interviewer): A Day with Lula Wright","Lula Wright, 1868, Cotton Valley, black tenant farmer, Tuskeegee, 18 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 59","Perry, Rhussus L. (interviewer)",A Day with Lula Wright
60,yes,896,1,1,"Perry, Rhussus L. (interviewer): Isaac Hathaway, Sculptor","Isaac Hathaway, no date given, Cincinnati [Ohio?], black sculptor, Tuskeegee, 2 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 60","Perry, Rhussus L. (interviewer)","Isaac Hathaway, Sculptor"
61,yes,1011,1,1,"Perry, Rhussus L. (interviewer): At Father Baker's Home","Mother Baker, circa 1855, [Macon County?], black, ex-slave, farmer, Macon County; Father Baker, circa 1855, [Macon County?], Tuskeegee, 22 November 1938","#03709, Subseries: ""1.1. Alabama."" Folder 61","Perry, Rhussus L. (interviewer)",At Father Baker's Home
62,yes,903,1,1,"Petterson, Josephine: Life Story of a Swedish-American","Josephine Petterson, circa 1871, Skogsby, Sweden, Swedish-American, FWP worker, Mobile, 2 February 1939","#03709, Subseries: ""1.1. Alabama."" Folder 62","Petterson, Josephine",Life Story of a Swedish-American
63,yes,1020,1,1,"Prine, Ida (interviewer): Life in a Shrimping and Oyster Shucking Camp","Joe Vaughn, circa 1861, Canada, white shrimp factory worker, Bayou La Batre, 29 November 1938","#03709, Subseries: ""1.1. Alabama."" Folder 63","Prine, Ida (interviewer)",Life in a Shrimping and Oyster Shucking Camp
64,yes,984,1,1,"Prine, Ida (interviewer): Mandy Johnson, Midwife","Mandy Johnson, 1867, Cottage Hall, black midwife, Cottage Hall, 30 November 1938","#03709, Subseries: ""1.1. Alabama."" Folder 64","Prine, Ida (interviewer)","Mandy Johnson, Midwife"
65,yes,881,1,1,"Prine, Ida (interviewer): Story of Auguste Mollie","Auguste Mollie, circa 1858, Dauphine, France, white farm laborer, Navcco, 21 December 1938","#03709, Subseries: ""1.1. Alabama."" Folder 65","Prine, Ida (interviewer)",Story of Auguste Mollie
66,yes,983,1,1,"Prine, Ida (interviewer): Kosaku Sawada, Nurseryman","Kosaku Sawada, no date given, Osaka, Japan, Japanese nurseryman, Mobile, 20 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 66","Prine, Ida (interviewer)","Kosaku Sawada, Nurseryman"
67,yes,902,1,1,"Prine, Ida (interviewer): It Ruins Oysters to Wash Them","Raymond Barbour, 1869, Dauphine Island, Ala., white fisherman, Bayou La Batre, 15 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 67","Prine, Ida (interviewer)",It Ruins Oysters to Wash Them
68,yes,876,1,1,"Prine, Ida (interviewer): Lena Cash, Octogenarian","Lena Cash, 1850, New Orleans, La., white elderly woman, Crichton, 5 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 68","Prine, Ida (interviewer)","Lena Cash, Octogenarian"
69,yes,932,1,1,"Reese, Marie (interviewer): ""Holly House""","""Bull"" Elliott, no date given, no place given, white tenant farmer, Loundesboro, 10 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 69","Reese, Marie (interviewer)","""Holly House"""
70,yes,928,1,1,"Rogers, Adelaide (interviewer): Never No More","Allen Turpin, circa 1868, Creek-stand, Ala., black janitor, Montgomery, no date given","#03709, Subseries: ""1.1. Alabama."" Folder 70","Rogers, Adelaide (interviewer)",Never No More
71,yes,990,1,1,"Rogers, Adelaide (interviewer): Mrs. Blanchard, Professional Mother","Ellen R. Blanchard, no date given, [Montgomery?], white housekeeper, Montgomery, 31 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 71","Rogers, Adelaide (interviewer)","Mrs. Blanchard, Professional Mother"
72,yes,891,1,1,"Rogers, Adelaide (interviewer): ""Gab'ul Chime Dat Harp!""","Henry Raymore, no date given, no place given, black fortune-teller, Montgomery, no date given","#03709, Subseries: ""1.1. Alabama."" Folder 72","Rogers, Adelaide (interviewer)","""Gab'ul Chime Dat Harp!"""
73,yes,1007,1,1,"Tartt, Ruby Pickens (interviewer): Carrie Dykes, Midwife","Carrie Dykes, circa 1870, Belmont, black midwife, Belmont, 4 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 73","Tartt, Ruby Pickens (interviewer)","Carrie Dykes, Midwife"
74,yes,974,1,1,"Tartt, Ruby Pickens (interviewer): No Lawd, I Ain't Ready","Hester Frye, no date given, Tishabee, Ala., black maid, Livingston, 17 February 1939","#03709, Subseries: ""1.1. Alabama."" Folder 74","Tartt, Ruby Pickens (interviewer)","No Lawd, I Ain't Ready"
75,yes,967,1,1,"Tartt, Ruby Pickens (interviewer): Another version of the above interview",,"#03709, Subseries: ""1.1. Alabama."" Folder 75","Tartt, Ruby Pickens (interviewer)",Another version of the above interview
76,yes,892,1,1,"Tartt, Ruby Pickens (interviewer): Seeking Salvation","""Little Bit,"" Hattie Amason, circa 1885, Livingston, 17 August 1939","#03709, Subseries: ""1.1. Alabama."" Folder 76","Tartt, Ruby Pickens (interviewer)",Seeking Salvation
77,yes,906,1,1,"Waldrep, R. V. (interviewer): I Wanted to Keep a Good Horse","Dr. Archie Waldrep, 1869, Red Bay, white doctor, Red Bay, 20 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 77","Waldrep, R. V. (interviewer)",I Wanted to Keep a Good Horse
78,yes,944,1,1,"Waldrep, R. V. (interviewer): Lord Loafer","Liege Massey, no date given, no place given, white-occupation given, Red Bay, 17 August 1939","#03709, Subseries: ""1.1. Alabama."" Folder 78","Waldrep, R. V. (interviewer)",Lord Loafer
79,yes,1014,1,1,"Waldrep, R. V. (interviewer): Bony Winchester","Bony Winchester, 1870, Red Bay, white farmer, Red Bay, 17 August 1939","#03709, Subseries: ""1.1. Alabama."" Folder 79","Waldrep, R. V. (interviewer)",Bony Winchester
80,yes,994,1,1,"Waldrep, R. V. (interviewer): It's Hell to Be Popular","Roberta Park, circa 1921, no place given, white high-school student, Red Bay, 20 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 80","Waldrep, R. V. (interviewer)",It's Hell to Be Popular
81,yes,1015,1,1,"Waldrep, R. V. (interviewer): Pink Petree","Pink Petree, circa 1874, [Pleasant Site?], white postman/owner country store, Pleasant Site, 20 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 81","Waldrep, R. V. (interviewer)",Pink Petree
82,yes,866,1,1,"Waldrep, R. V. (interviewer): John F. Davis","John F. Davis, [1880?], no place given, white postman/farmer, Red Bay, 18 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 82","Waldrep, R. V. (interviewer)",John F. Davis
83,yes,900,1,1,"Waldrep, R. V. (interviewer): I'll Be an Old Man Tomorrow","W. W. Skeleton, circa 1872, Texas, white surveyor, Red Bay, 18 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 83","Waldrep, R. V. (interviewer)",I'll Be an Old Man Tomorrow
84,yes,980,1,1,"Waldrep, R. V. (interviewer): J. P. Epps and Son","J. P. Epps, [1885], Golden, white storekeeper, Red Bay, 21 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 84","Waldrep, R. V. (interviewer)",J. P. Epps and Son
85,yes,971,1,1,"Waldrep, R. V. (interviewer): Luke Warn: He Ain't Talkin","Luke Warn, [1870?], Red Bay, black, occupation not given, Red Bay, 14 August 1939","#03709, Subseries: ""1.1. Alabama."" Folder 85","Waldrep, R. V. (interviewer)",Luke Warn He Ain't Talkin
86,yes,920,1,1,"Waldrep, R. V. (interviewer): My Boys An' Me Died in the War","Oscar Falkes, 1869, Village Springs, white country-store operator, Birmingham, 15 August 1939","#03709, Subseries: ""1.1. Alabama."" Folder 86","Waldrep, R. V. (interviewer)",My Boys An' Me Died in the War
87,yes,1012,1,1,"Waldrep, R. V. (interviewer): Jack Hodge","Jack Hodge, no date given, no place given, white farmer, Red Bay, 14 July 1939","#03709, Subseries: ""1.1. Alabama."" Folder 87","Waldrep, R. V. (interviewer)",Jack Hodge
88,yes,878,1,1,"Williams, Jennie Sue (interviewer): Frank Coffee","Frank Coffee, 1866, Fackler, black odd job man, Bridgeport, 30 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 88","Williams, Jennie Sue (interviewer)",Frank Coffee
89,yes,901,1,1,"Williams, Jennie Sue (interviewer): Isaac Slaughter","Isaac Slaughter, Greensboro, Ga., black, ex-slave, Bridgeport, 17 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 89","Williams, Jennie Sue (interviewer)",Isaac Slaughter
90,yes,889,1,1,"Williamson, Keane (interviewer): Emancipation","A fictional piece, Pine Apple, Ala., no date given","#03709, Subseries: ""1.1. Alabama."" Folder 90","Williamson, Keane (interviewer)",Emancipation
91,yes,1023,1,1,"Evans, Lawrence F. (interviewer): A Plain Country Doctor","Floyd Abernathy, Prattville, no place given, white doctor, Foley, no date given","#03709, Subseries: ""1.1. Alabama."" Folder 91","Evans, Lawrence F. (interviewer)",A Plain Country Doctor
92,yes,997,1,1,No author: Mid-wife and Farmer,"Josie Fleming, circa 1876, Aswell, black midwife, no place given, no date given","#03709, Subseries: ""1.1. Alabama."" Folder 92",No author,Mid-wife and Farmer
93,yes,1005,1,1,"Tartt, Ruby Pickens (interviewer): Hester Frye","Hester Frye, no date given, Tishabee, black maid, Livingston, no date given","#03709, Subseries: ""1.1. Alabama."" Folder 93","Tartt, Ruby Pickens (interviewer)",Hester Frye
94,yes,907,1,1,"Rowland, Walter (interviewer): ""Ain't Got No Screens""","No name, no date given, no place given, black tenant farmer, Arkansas, 6 June 1939","#03709, Subseries: ""1.1. Alabama."" Folder 94","Rowland, Walter (interviewer)","""Ain't Got No Screens"""
95,yes,934,1,1,"Rowland, Walter (interviewer): A North Little Rock Thief","No name, no date given, no place given, white thief, North Little Rock, 12 May 1939","#03709, Subseries: ""1.1. Alabama."" Folder 95","Rowland, Walter (interviewer)",A North Little Rock Thief
96,yes,880,1,1,No author: Honkytonk Hostess,"No name, no date given, no place given, white waitress, no place given, no date given","#03709, Subseries: ""1.1. Alabama."" Folder 96",No author,Honkytonk Hostess
97,yes,976,1,1,"Bryan, Lindsay M. (interviewer): ""Jaydy"" Abbin, Florida Adventurer","J. Atkins, 1903, Dade City, white mechanic, Tampa, 15 February 1939","#03709, Subseries: ""1.2. Florida."" Folder 97","Bryan, Lindsay M. (interviewer)","""Jaydy"" Abbin, Florida Adventurer"
98,yes,986,1,1,"Back, Gladys (interviewer): The Burns Family","W. W. Woods, no date given, Grand Cayman Islands, white housewife, Princeton, 30 December 1938","#03709, Subseries: ""1.2. Florida."" Folder 98","Back, Gladys (interviewer)",The Burns Family
99,yes,936,1,1,"Burnell, Elvira (interviewer): The Stembler Family","Tom Blake, no date given, no place given, white debt collector, Miami, 30 January 1939","#03709, Subseries: ""1.2. Florida."" Folder 99","Burnell, Elvira (interviewer)",The Stembler Family
100,yes,946,1,1,"Burnell, Elvira (interviewer): Anna Alden","Annie Alden, [1880?], no place given, white WPA sewing room worker, Miami, 16 February 1939","#03709, Subseries: ""1.2. Florida."" Folder 100","Burnell, Elvira (interviewer)",Anna Alden
101,yes,930,1,1,"Darsey, Barbara (interviewer): Lolly Bleu, Florida Squatter","Mrs. Robert Eures, [1889?], Texas, white squatter, Venus, 29 November 1938","#03709, Subseries: ""1.2. Florida."" Folder 101","Darsey, Barbara (interviewer)","Lolly Bleu, Florida Squatter"
